"bac","libelle","categorie"
"0001","0001-BAC INTERNATIONAL","Équivalent ou étranger"
"0021","0021-BACS PROFESSIONNELS INDUSTRIELS","Professionel"
"0022","0022-BACS PROFESSIONNELS TERTIAIRES","Professionel"
"0023","0023-BACS PROFESSIONNELS AGRICOLES","Professionel"
"0030","0030-CAPACITE DE DROIT","Équivalent ou étranger"
"0031","0031-TITRE ETRANGER ADMIS EN EQUIVALENCE","Équivalent ou étranger"
"0032","0032-TITRE FRANCAIS ADMIS EN DISPENSE","Équivalent ou étranger"
"0033","0033-ESEU A OU D.A.E.U. A","Équivalent ou étranger"
"0034","0034-ESEU B OU D.A.E.U. B","Équivalent ou étranger"
"0035","0035-PROMOTION SOCIALE","Équivalent ou étranger"
"0036","0036-VALIDATION ETUDES,EXPERIENCES PROF.","Équivalent ou étranger"
"0037","0037-AUTRE CAS","Équivalent ou étranger"
"A","A-PHILOSOPHIE-LETTRES","Littéraire"
"A1","A1-LETTRES-SCIENCES","Littéraire"
"A1-85","A1 LATIN-GREC","Littéraire"
"A2","A2-LETTRES-LANGUES","Littéraire"
"A2-85","A2 LATIN-LANGUES","Littéraire"
"A3","A3-LETTRES-ARTS PLASTIQUES","Littéraire"
"A3-85","A3 LATIN-MATHEMATIQUES","Littéraire"
"A4","A4 LANGUES-MATHEMATIQUES","Littéraire"
"A5","A5 LANGUES","Littéraire"
"A6-85","A6 EDUCATION MUSICALE","Littéraire"
"A7-85","A7 ARTS PLASTIQUES","Littéraire"
"B","B-ECONOMIQUE ET SOCIAL","Économique et social"
"C","C-MATHEMATIQUES ET SCIENCES PHYSIQUES  .","Scientifique"
"D","MATHEMATIQUES ET SCIENCES DE LA NATURE","Scientifique"
"DP","D'-SCIENCES AGRONOMIQUES ET TECHNIQUES","Scientifique"
"E","MATHEMATIQUES ET TECHNIQUES","Scientifique"
"ES","ECONOMIQUE ET SOCIALE","Économique et social"
"F","F-SPECIALITE NON PRECISEE","Technique ou technologique"
"F1","F1-CONSTRUCTION MECANIQUE","Technique ou technologique"
"F10","F10-MICROTECHNIQUE(AVANT 1984)","Technique ou technologique"
"F10A","F10A-MICROTECHNIQUE OPTION APPAREILLAGE","Technique ou technologique"
"F10B","F10B-MICROTECHNIQUE OPTION OPTIQUE","Technique ou technologique"
"F11","TMD-MUSIQUE","Technique ou technologique"
"F11P","TMD-DANSE","Technique ou technologique"
"F12","F12-ARTS APPLIQUES","Technique ou technologique"
"F2","F2-ELECTRONIQUE","Technique ou technologique"
"F3","F3-ELECTROTECHNIQUE","Technique ou technologique"
"F4","F4-GENIE CIVIL","Technique ou technologique"
"F5","F5-PHYSIQUE","Technique ou technologique"
"F6","F6-CHIMIE","Technique ou technologique"
"F7","F7-BIOLOGIE OPTION BIOCHIMIE","Technique ou technologique"
"F7P","BIOLOGIE OPTION BIOLOGIE","Technique ou technologique"
"F8","F8-SCIENCES MEDICO-SOCIALES","Technique ou technologique"
"F9","F9-EQUIPEMENT TECHNIQUE-BATIMENT","Technique ou technologique"
"G","G-SPECIALITE NON PRECISEE","Technique ou technologique"
"G1","G1-TECHNIQUES ADMNISTRATIVES","Technique ou technologique"
"G2","G2-TECHNIQUES QUANTITATIVES DE GESTION","Technique ou technologique"
"G3","G3-TECHNIQUES COMMERCIALES","Technique ou technologique"
"H","H-TECHNIQUES INFORMATIQUES","Technique ou technologique"
"HOT","HOTELLERIE","Professionel"
"L","LITTERAIRE","Littéraire"
"S","SCIENTIFIQUE","Scientifique"
"SMS","SCIENCES MEDICO-SOCIALES","Technique ou technologique"
"ST2S","SC ET TECHNOLOGIES SANTE ET SOCIAL","Technique ou technologique"
"STAE","SC. ET TECH. AGRONOMIE ENVIRONNEMENT","Technique ou technologique"
"STAV","SC ET TECHNOLOGIES AGRONOMIE ET VIVANT","Technique ou technologique"
"STG","SCIENCES ET TECHNIQUES DE GESTION","Technique ou technologique"
"STI","SCIENCES ET TECHNIQUES INDUSTRIELLES","Technique ou technologique"
"STL","SCIENCES ET TECHNOLOGIES DE LABORATOIRE","Technique ou technologique"
"STPA","SC. ET TECH. DU PRODUIT AGRO-ALIMENTAIRE","Technique ou technologique"
"STT","SCIENCES ET TECHNOLOGIES TERTIAIRES","Technique ou technologique"
