Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC;Id_Paysage
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;17;86;6;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc07_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;10;76;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc13_18;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;10;76;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_30;disc13_30;7CYWd
2013;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;9;100;3;ns;ns;ns;ns;ns;ns;21;11.4;1840;ns;ns;;1430;2210;Nice - Sophia-Antipolis_18;disc17_18;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;21;82;5;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc05_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;25;76;9;ns;ns;ns;ns;ns;ns;21;11;1830;ns;ns;;1420;2210;Nice - Sophia-Antipolis_30;disc15_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;47;82;16;98;86;76;91;ns;ns;21;11;1830;35;41;21.00;1420;2210;Nice - Sophia-Antipolis_30;disc16_30;7CYWd
2014;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;47;82;16;83;85;68;95;ns;ns;21;11;1830;27;41;21.00;1420;2210;Nice - Sophia-Antipolis_18;disc16_18;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;7;100;3;ns;ns;ns;ns;ns;ns;22;10.3;1830;ns;ns;;1410;2200;Nice - Sophia-Antipolis_30;disc14_30;7CYWd
2015;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;37;76;16;87;ns;81;100;1750;27300;22;10.3;1830;ns;58;13.00;1410;2200;Nice - Sophia-Antipolis_18;disc16_18;7CYWd
2016;LICENCE PRO;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;57;60;31;95;49;77;96;1700;26500;25;10.2;1800;10;20;49.00;1410;2140;Nice - Sophia-Antipolis_18;disc04_18;7CYWd
