Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;329;81;55;90;61;65;97;1750;27300;26.00;11.4;1840;40;43;53;1430;2210;Nice - Sophia-Antipolis_18;disc01_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;329;81;55;92;67;79;97;1980;30900;26.00;11.4;1840;45;43;53;1430;2210;Nice - Sophia-Antipolis_30;disc01_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;176;85;28;96;92;87;96;2100;32800;26.00;11.4;1840;78;39;48;1430;2210;Nice - Sophia-Antipolis_30;disc12_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;39;91;6;90;91;76;91;ns;ns;26.00;11.4;1840;65;52;74;1430;2210;Nice - Sophia-Antipolis_18;disc14_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;68;84;11;97;100;98;98;2230;34800;26.00;11.4;1840;96;30;19;1430;2210;Nice - Sophia-Antipolis_30;disc16_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;56;82;10;86;73;90;98;2010;31400;29.00;11.7;1790;40;40;58;1390;2170;Nice - Sophia-Antipolis_30;disc03_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;;19;74;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_30;disc06_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;74;62;14;79;78;36;70;1450;22600;29.00;11.7;1790;60;37;77;1390;2170;Nice - Sophia-Antipolis_18;disc07_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;17;65;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_30;disc08_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;3;80;1;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_18;disc11_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;18 mois après le diplôme;;183;69;32;84;93;77;96;2000;31200;29.00;11.7;1790;74;39;40;1390;2170;Nice - Sophia-Antipolis_18;disc12_18
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;41;92;7;90;89;76;89;1700;26500;29.00;11.7;1790;42;37;65;1390;2170;Nice - Sophia-Antipolis_30;disc17_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;298;76;50;86;66;71;94;1800;28100;28.00;11;1830;41;40;58;1420;2210;Nice - Sophia-Antipolis_18;disc01_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;;57;70;10;89;65;74;88;1840;28700;28.00;11;1830;39;38;70;1420;2210;Nice - Sophia-Antipolis_18;disc02_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;;43;79;7;83;66;80;97;ns;ns;28.00;11;1830;40;42;60;1420;2210;Nice - Sophia-Antipolis_18;disc03_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;;192;77;32;86;66;68;96;1750;27300;28.00;11;1830;43;41;53;1420;2210;Nice - Sophia-Antipolis_18;disc04_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;;14;79;2;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_18;disc08_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;33;85;5;79;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;78;1420;2210;Nice - Sophia-Antipolis_30;disc10_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;33;85;5;77;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;78;1420;2210;Nice - Sophia-Antipolis_18;disc10_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;11;88;2;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_30;disc11_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;;56;84;9;95;91;66;100;1930;30200;28.00;11;1830;71;56;42;1420;2210;Nice - Sophia-Antipolis_30;disc13_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;27;78;4;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_30;disc14_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;;27;78;4;ns;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;ns;1420;2210;Nice - Sophia-Antipolis_18;disc14_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;30;73;5;93;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;46;1420;2210;Nice - Sophia-Antipolis_30;disc17_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;30;73;5;81;ns;ns;ns;ns;ns;28.00;11;1830;ns;ns;46;1420;2210;Nice - Sophia-Antipolis_18;disc17_18
2011;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;126;82;16;94;84;86;89;1690;26400;25.00;11.2;1730;77;22;91;;;Nice - Sophia-Antipolis_30;disc19_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;72;83;9;94;86;82;97;1980;30800;25.00;11.2;1730;57;29;64;;;Nice - Sophia-Antipolis_30;disc02_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;18;81;2;ns;ns;ns;ns;ns;ns;25.00;11.2;1730;ns;ns;ns;;;Nice - Sophia-Antipolis_30;disc08_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;;48;86;6;90;85;60;60;ns;ns;25.00;11.2;1730;68;40;83;;;Nice - Sophia-Antipolis_30;disc09_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;315;84;54;89;82;82;96;2000;31200;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc01_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;44;83;7;91;85;83;100;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc03_30
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;;56;84;9;84;89;55;96;1690;26400;28.00;11;1830;65;56;42;1420;2210;Nice - Sophia-Antipolis_18;disc13_18
2014;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;81;84;13;100;100;96;99;2390;37300;28.00;11;1830;98;33;21;1420;2210;Nice - Sophia-Antipolis_30;disc16_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;;73;82;12;93;80;84;96;2000;31200;26.00;11.4;1840;48;32;68;1430;2210;Nice - Sophia-Antipolis_30;disc02_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;15;86;2;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc08_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;;20;77;3;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc10_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;20;77;3;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_30;disc10_30
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;10;80;2;ns;ns;ns;ns;ns;ns;26.00;11.4;1840;ns;ns;ns;1430;2210;Nice - Sophia-Antipolis_18;disc11_18
2013;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc16;Informatique;18 mois après le diplôme;;68;84;11;96;98;96;98;2090;32600;26.00;11.4;1840;95;30;19;1430;2210;Nice - Sophia-Antipolis_18;disc16_18
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;;22;76;4;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc10_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;18;92;3;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc11_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;168;90;27;94;95;79;97;2110;33000;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc12_30
2010;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;;2;100;0;ns;ns;ns;ns;ns;ns;29.00;11.7;1750;nd;nd;nd;;;Nice - Sophia-Antipolis_30;disc15_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;24;66;4;ns;ns;ns;ns;ns;ns;29.00;11.7;1790;ns;ns;ns;1390;2170;Nice - Sophia-Antipolis_30;disc05_30
2012;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;STS;Sciences, technologies et santé;disc12;Ensemble sciences, technologies et santé;30 mois après le diplôme;;183;69;32;90;96;87;98;2180;34100;29.00;11.7;1790;77;39;40;1390;2170;Nice - Sophia-Antipolis_30;disc12_30
2011;MASTER ENS;0060931E;Nice - Sophia-Antipolis;A23;Nice;MEEF;Masters enseignement;disc20;Masters enseignement : second degré, CPE...;30 mois après le diplôme;;58;82;7;99;100;95;98;1880;29300;25.00;11.2;1730;100;46;63;;;Nice - Sophia-Antipolis_30;disc20_30
2011;MASTER LMD;0060931E;Nice - Sophia-Antipolis;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;95;81;12;88;73;64;77;1500;23400;25.00;11.2;1730;54;40;80;;;Nice - Sophia-Antipolis_30;disc07_30
